symbol,strategy,strike,short_strike,type,vol_mode,iv_context,iv,iv_rank,iv_percentile,hv,hv10,hv20,hv60,delta,vega,theta,score,entry,stop_loss,target,risk_reward,reason,mid_price,bid,ask,spot,moneyness,oi,volume,expected_move,expected_move_ratio,quality_score,iv_state,atm_iv,atm_reference_iv,skew_discount,pcr,skew_ratio,market_bias_score,market_bias,trend,dte,component_scores,security_id
ABCAPITAL,Volatility Expansion Play,340.0,,PUT,skew,below_chain_mean,39.308379179407574,,,55.57637384482679,65.9169507315744,58.70706453587843,41.06154270334366,-0.4352,0.29187,-0.29074,100.0,10.03,6.52,18.05,2.29,"['IV is 16.27 points below weighted HV', 'Strike IV is 0.13 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Volume is 4.91x the same-side chain average', 'High volume and high OI signal strong participation', 'Liquidity is strong in both OI and volume']",10.025,9.9,10.15,341.9,0.5557180462123361,771900,1556200,28.88413741853633,0.06578004987542597,4,neutral,39.145538635943865,44.534112172352835,0.13402720695011522,1.0323186771890267,0.7634938298518353,2.0,bullish,neutral,17,"{'skew': 51.07, 'iv_vs_hv': 100.0, 'delta': 70.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 100.0}",21614
ABCAPITAL,Volatility Expansion Play,335.0,,PUT,skew,below_chain_mean,39.892504185569905,,,55.57637384482679,65.9169507315744,58.70706453587843,41.06154270334366,-0.36946,0.2798,-0.28839,100.0,8.07,5.25,14.53,2.29,"['IV is 15.68 points below weighted HV', 'Delta -0.37 sits in the preferred directional range', 'Strike IV is 0.12 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Volume is 2.46x the same-side chain average', 'High volume and high OI signal strong participation', 'Liquidity is strong in both OI and volume']",8.075,7.9,8.25,341.9,2.018133957297449,415400,778100,28.88413741853633,0.23888544428444375,5,neutral,39.145538635943865,44.534112172352835,0.11904583626176474,1.0323186771890267,0.7634938298518353,2.0,bullish,neutral,17,"{'skew': 50.95, 'iv_vs_hv': 100.0, 'delta': 100.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 100.0}",21614
ABCAPITAL,Volatility Expansion Play,330.0,,PUT,skew,below_chain_mean,41.57330305318568,,,55.57637384482679,65.9169507315744,58.70706453587843,41.06154270334366,-0.312,0.26229,-0.28666,100.0,6.35,4.13,11.43,2.29,"['IV is 14.00 points below weighted HV', 'Delta -0.31 sits in the preferred directional range', 'Strike IV is 0.08 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Volume is 3.03x the same-side chain average', 'High volume and high OI signal strong participation', 'Liquidity is strong in both OI and volume']",6.35,6.25,6.45,341.9,3.4805498683825618,629300,961000,28.88413741853633,0.41199083869346154,5,neutral,39.145538635943865,44.534112172352835,0.0759374765396784,1.0323186771890267,0.7634938298518353,2.0,bullish,neutral,17,"{'skew': 50.61, 'iv_vs_hv': 100.0, 'delta': 100.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 100.0}",21614
ABCAPITAL,Volatility Expansion Play,350.0,,CALL,skew,above_chain_mean,37.296035386781845,,,55.57637384482679,65.9169507315744,58.70706453587843,41.06154270334366,0.42429,0.29044,-0.35305,100.0,8.2,5.33,14.76,2.29,"['IV is 18.28 points below weighted HV', 'IV context is above_chain_mean', 'Strike is inside the 1x expected move envelope', 'Volume is 3.85x the same-side chain average', 'High volume and high OI signal strong participation', 'Liquidity is strong in both OI and volume']",8.2,8.1,8.3,341.9,2.3691137759578895,719200,1556200,28.88413741853633,0.2804307389426096,3,neutral,39.145538635943865,34.001519861520904,-0.11370098099880943,1.0323186771890267,0.7634938298518353,2.0,bullish,neutral,17,"{'skew': 49.09, 'iv_vs_hv': 100.0, 'delta': 70.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 100.0}",21614
ADANIENSOL,Call Debit Spread,1200.0,1220.0,CALL,skew,above_chain_mean,45.751840411243684,,,59.024442462526935,64.19356056002741,57.22763458000026,56.251068208395324,0.39629,0.96766,-1.40706,100.0,31.0,20.15,55.8,2.29,"['IV is 13.27 points below weighted HV', 'Delta 0.40 sits in the preferred directional range', 'IV context is above_chain_mean', 'Strike is inside the 1x expected move envelope', 'Volume is 7.51x the same-side chain average', 'High volume and high OI signal strong participation', 'Liquidity is strong in both OI and volume']",31.0,30.7,31.3,1157.9,3.635892564124701,484650,6212700,123.11570298040694,0.34195475459941815,4,neutral,49.26793579923184,27.369584973644784,-0.87716135936957,0.6956071280563614,0.33088727580130795,1.0,neutral,bullish,17,"{'skew': 42.98, 'iv_vs_hv': 94.97, 'delta': 100.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 100.0}",10217
ADANIENSOL,Call Debit Spread,1160.0,1180.0,CALL,skew,above_chain_mean,45.96688884148688,,,59.024442462526935,64.19356056002741,57.22763458000026,56.251068208395324,0.53142,0.9986,-1.49273,100.0,47.15,30.65,84.87,2.29,"['IV is 13.06 points below weighted HV', 'IV context is above_chain_mean', 'Strike is inside the 1x expected move envelope', 'Volume is 2.84x the same-side chain average', 'High volume and high OI signal strong participation', 'Liquidity is strong in both OI and volume']",47.150000000000006,46.7,47.6,1157.9,0.18136281198721035,187650,2347650,123.11570298040694,0.01705712552633607,3,neutral,49.26793579923184,27.369584973644784,-0.8874230040324215,0.6956071280563614,0.33088727580130795,1.0,neutral,bullish,17,"{'skew': 42.9, 'iv_vs_hv': 94.24, 'delta': 70.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 100.0}",10217
ADANIENSOL,Volatility Expansion Play,1140.0,,PUT,skew,below_chain_mean,51.79996512688937,,,59.024442462526935,64.19356056002741,57.22763458000026,56.251068208395324,-0.40643,0.97403,-1.32977,100.0,40.85,26.55,73.53,2.29,"['IV is 7.22 points below weighted HV', 'Strike IV is 0.37 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Chain IV percentile is cheap at 16.7', 'Volume is 2.27x the same-side chain average', 'High volume and high OI signal strong participation', 'Liquidity is strong in both OI and volume']",40.849999999999994,40.4,41.3,1157.9,1.5459020640815346,186975,786375,123.11570298040694,0.14539168901020497,4,neutral,49.26793579923184,82.71573727748826,0.36930111150833667,0.6956071280563614,0.33088727580130795,1.0,neutral,bullish,17,"{'skew': 52.95, 'iv_vs_hv': 74.48, 'delta': 70.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 100.0}",10217
ADANIENSOL,Volatility Expansion Play,1120.0,,PUT,skew,below_chain_mean,52.666686205381275,,,59.024442462526935,64.19356056002741,57.22763458000026,56.251068208395324,-0.34839,0.92847,-1.30494,100.0,32.52,21.14,58.55,2.29,"['IV is 6.36 points below weighted HV', 'Delta -0.35 sits in the preferred directional range', 'Strike IV is 0.36 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Volume is 2.41x the same-side chain average', 'High volume and high OI signal strong participation', 'Liquidity is strong in both OI and volume']",32.525,32.05,33.0,1157.9,3.273166940150279,136350,835650,123.11570298040694,0.307840503546746,5,neutral,49.26793579923184,82.71573727748826,0.35894778583057046,0.6956071280563614,0.33088727580130795,1.0,neutral,bullish,17,"{'skew': 52.87, 'iv_vs_hv': 71.54, 'delta': 100.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 100.0}",10217
ADANIENSOL,Volatility Expansion Play,1100.0,,PUT,skew,below_chain_mean,52.95798798550163,,,59.024442462526935,64.19356056002741,57.22763458000026,56.251068208395324,-0.29286,0.86343,-1.23201,100.0,25.7,16.71,46.26,2.29,"['IV is 6.07 points below weighted HV', 'Delta -0.29 sits in the preferred directional range', 'Strike IV is 0.36 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Volume is 5.56x the same-side chain average', 'High volume and high OI signal strong participation', 'Liquidity is strong in both OI and volume']",25.7,25.5,25.9,1157.9,5.000431816219025,287550,1926450,123.11570298040694,0.47028931808328706,5,neutral,49.26793579923184,82.71573727748826,0.3554680709892667,0.6956071280563614,0.33088727580130795,1.0,neutral,bullish,17,"{'skew': 52.84, 'iv_vs_hv': 70.56, 'delta': 100.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 100.0}",10217
VBL,Volatility Expansion Play,440.0,,CALL,skew,below_chain_mean,30.830142473460647,,,39.83552264710606,41.825795518177,43.74836109024898,32.62813185184455,0.42679,0.36707,-0.37776,100.0,8.78,5.7,15.8,2.29,"['IV is 9.01 points below weighted HV', 'Strike IV is 0.30 std below same-side chain mean', 'IV context is below_chain_mean', 'Strike is inside the 1x expected move envelope', 'Volume is 2.43x the same-side chain average', 'High volume and high OI signal strong participation', 'Liquidity is strong in both OI and volume']",8.775,8.65,8.9,431.6,1.946246524559772,915750,1120500,29.028272388356168,0.28937305974052346,4,neutral,31.164612064239556,42.77597577822077,0.29764148828528686,0.7576710397918248,0.8904826186593976,0.5,neutral,neutral,17,"{'skew': 52.38, 'iv_vs_hv': 95.21, 'delta': 70.0, 'vega': 100.0, 'liquidity': 100.0, 'strike_relevance': 100.0}",18921
